번호	글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
35	쓰니	2021.05.04 11:54	750	0	0	우리동네 중국집 사장님 배달...	https://pann.nate.com/talk/359487998?page=2	
36	ㅇㅇ	2021.05.01 19:36	345	0	0	로제 떡볶이 엄청 좋아하는 사람 이리와	https://pann.nate.com/talk/359430591?page=2	
37	1235	2021.04.28 17:58	657	0	0	세상에 이런 사람도 있네요	https://pann.nate.com/talk/359366273?page=2	
38	행복이야기	2021.04.26 20:29	379	0	0	누가 그러더라... 인생은말야~	https://pann.nate.com/talk/359329334?page=2	
39	알바자랑	2021.04.26 18:19	526	0	0	우리 알바생 칭찬 ~	https://pann.nate.com/talk/359327084?page=2	
40	앗	2021.04.23 00:00	402	0	0	왕따트라우마라고해야하나요?	https://pann.nate.com/talk/359249262?page=2	
41	의료사고	2021.04.20 10:01	568	0	0	ㅂㄷs대 의료사고 입니다 꼭 읽어주...	https://pann.nate.com/talk/359200620?page=2	
42	쓰니	2021.04.19 01:24	431	0	0	심심한데 설레는 썰이나 꿈좀...	https://pann.nate.com/talk/359176376?page=2	
43	인천1호선귤현역	2021.04.17 10:22	575	0	0	인천1호선 귤현역 역무원님과...	https://pann.nate.com/talk/359137681?page=2	
44	행복이야기	2021.04.12 18:15	400	0	0	내 인생의 소중한 시간들~	https://pann.nate.com/talk/359043157?page=2	
45	삐뽀	2021.04.11 23:58	373	0	0	빨리 조카 급해 얼불춤 하는사람	https://pann.nate.com/talk/359026922?page=2	
46	ㅇㅇ	2021.04.09 20:34	556	0	0	김치붙임게 먹었는데 개맛있다	https://pann.nate.com/talk/358979765?page=2	
47	행복이야기	2021.03.31 18:41	403	0	0	내 마음 안에 부는 바람~	https://pann.nate.com/talk/358795248?page=2	
48	조나단	2021.03.31 13:41	470	0	0	끝내야 할 시간...	https://pann.nate.com/talk/358791490?page=2	
49	뚜렛	2021.03.29 14:57	607	0	0	옆집에서 미사일터렛을쏴요	https://pann.nate.com/talk/358755684?page=2	
50	안녕하세요	2021.03.29 03:14	1,263	0	0	장례식 가서 부조안했어요	https://pann.nate.com/talk/358750054?page=2	
51	수글	2021.03.28 23:32	426	0	0	봉사는 마음에서 나오는게 맞는거 같다.	https://pann.nate.com/talk/358743850?page=2	
52	왠지타코야키가맛있더라니	2021.03.28 01:34	550	0	0	해방직후 일본에서 한국으로 시집온 ...	https://pann.nate.com/talk/358723389?page=2	
53	조나단	2021.03.26 19:46	420	0	0	이번 라일락은	https://pann.nate.com/talk/358693242?page=2	
54	틴탑천지	2021.03.24 15:11	4,569	0	0	틴탑 이찬희 학창시절 썰	https://pann.nate.com/talk/358652234?page=2	
55	이헌	2021.03.24 12:14	420	0	0	문득 생각이 나서 -4	https://pann.nate.com/talk/358650280?page=2	
