제목	본문요약
'데파이 · 바이날둠 맹활약' 네덜란드 조 1위 16강행	→ [원문에서 영상 보기] https://news.sbs.co.kr/n/?id=N1006363832 유럽축구선수권 에서 네덜란드가 북마케도니아를 꺾고 3연승 조 선두로 16강에 진출했습니다. 오렌지 군단 네덜란드를 승리로 이끈 쌍두마차는...
'에릭센 사태에서 배운 교훈' EPL, 유소년 팀에게 심장 제세동기 자금 지원	글로벌 스포츠 매체 25일(한국시간) "EPL이 에서의 크리스티안 에릭센 사태를 보고 유소년 팀에게 생명을 구할 심장 제세동기를 위한 자금을 지원할 계획이다"고 전했다. 에릭센은 지난 13일 오전 1시 덴마크와...
고젠스 1득점-1도움… 독일, 포르투갈에 4-2 역전승	독일이 유럽축구선수권대회()에서 포르투갈에 짜릿한 역전승을 챙겼다. 독일은 20일 오전(한국시간) 독일 뮌헨의 알리안츠 아레나에서 열린 F조 조별리그 2차전에서 카이 하베르츠와 로빈 고젠스의 득점...
伊, ‘성소수자 혐오 반대법’ 교황청 외교적 항의 일축…EU “헝가리 차별법은 수치”	한편, 오르반 총리는 이날 오후 뮌헨에서 열리는 2020 유럽축구선수권대회() 헝가리-독일전을 참관하려던 계획을 취소했다고 독일 매체 차이트 온라인이 보도했다.
E조 스페인 기사회생, F조 죽음의 조는 3강 모두 생존	24일(한국시간) 열린  E조와 F조의 조별리그 최종전에서 8팀의 희비가 엇갈렸다. E조는 최종전에서 희비가 엇갈렸다. 이미 16강 진출을 확정지었던 스웨덴은 폴란드와의 최종전에서 3-2 신승을 거두며 2승 1무 승점...
'잉글랜드 비상' 칠웰-마운트, 코로나19 확진자 밀접 접촉해 격리	잉글랜드는 현재 유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그를 치르는 중이다. 잉글랜드는 1승 1무, 승점 4(골득실 +1)를 기록했지만 체코(승점 4, 골득실 +2)에 밀려 2위에 머물러 있다. 잉글랜드는 조별리그...
헝가리, ‘죽음의 F조’서 살아남을까	국제축구연맹(FIFA) 랭킹 37위 헝가리는 유럽축구연맹(UEFA)  F조 2차전 경기에서 2018 러시아월드컵 우승팀 프랑스(랭킹 2위)와 1대 1 무승부를 거두는 파란을 일으켰다. 킬리안 음바페(PSG) 카림 벤제마(레알) 앙투안...
'인조잔디 탓에 발목 부상' 블린트, 수술 예정...유로 참가 불투명	참가도 불투명한 상황이다. 블린트는 지난달 30일(한국시간) 지브롤터에 위치한 빅토리아 스타디움에서 열린 지브롤터와의 2022 국제축구연맹(FIFA) 카타르 월드컵 유럽 지역 예선 G조 3차전에 출전했다. 당시 그는...
'북마케도니아전 패배' 뢰브 감독, 팬 투표 결과 유로 예선 탈락 '87%'	여기서 그치지 않고, 비판의 대상에 오른 뢰브 감독의  성공과 실패를 묻는 투표까지 등장했다. 독일 '스카이스포츠'는 팬들을 대상으로 투표를 진행했는데, 팬들의 의견은 확고했다. 약 10,000명이 참여한 가운데...
‘PK 선방→황당 자책골’ 두브라브카, 슬로바키아 영웅에서 역적으로	슬로바키아는 24일(한국시간) 새벽 스페인 세비야의 라 카르투야 스타디움서 열린  E조 조별리그 최종 3차전서 스페인에 0-5 완패를 당했다. 슬로바키아 골키퍼 두브라브카는 영웅에서 역적으로 전락했다. 전반...
'저 놀지 않아요' 부활 노리며 개인훈련에 매진 델레 알리, 영상+사진 SNS PR	그는  본선이 한창이지만 잉글랜드 대표팀에 차출되지 않았다. 잉글랜드 사우스게이트 감독도 알리를 뽑지 않았다. 알리는 일찌감치 개인 훈련 캠프를 중동 아랍에미리트 두바이에 차렸다. 한 스포츠 클럽에서...
[GOAL 리뷰] '모드리치 결승골' 크로아티아, 스코틀랜드 3-1 꺾고 16강 진출	크로아티아는 23일 오전 4시(한국시간) 스코틀랜드 글래스고에 위치한 햄던 파크에서 열린 스코틀랜드와의 UEFA  D조 조별리그 3차전에서 3-1로 승리했다. 크로아티아는 D조 2위로 16강에 올랐다. 크로아티아는 4-2-3-1...
끝까지 에릭센과 함께한 덴마크, 기적이 더 빛났던 이유	덴마크는 22일 오전 4시(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서 열린 러시아와의 UEFA  B조 조별리그 3차전에서 4-1로 승리했다. 덴마크는 담스고르와 포울센의 연속골로 앞서나갔고, 한 골을...
[포토뉴스] 호날두, PK 2골로 A매치 최다골 타이	포르투갈 축구 간판 공격수 크리스티아누 호날두가 24일 열린  조별리그 F조 3차전 프랑스전 후반 15분 페널티킥을 성공시킨 뒤 세리머니를 하고 있다. 전반 31분에도 페널티킥을 성공시키며 이날 경기 2골을...
[GOAL 리뷰] '루카쿠 쐐기골' 벨기에, 핀란드 2-0 꺾고 전승 16강행	벨기에는 22일 오전 4시(한국시간) 러시아 상트페테르부르크에 위치한 크레스톱스키 스타디움에서 열린 핀란드와의 UEFA  B조 조별리그 3차전에서 2-0으로 승리했다. 벨기에는 B조 1위로 16강에 올랐다. 핀란드는 5...
'근본'케인 "英대표팀 유로 끝난후 토트넘 거취 결정할것"	한편 지난해 코로나 팬데믹으로 인해 1년 연기된 은 올해 6월 11일부터 7월 11일까지 유럽 11개국 11개 도시 경기장에서 펼쳐질 예정이다. 본선에 오른 24개국이 유럽 챔피언의 자리를 놓고 치열하게 격돌할 예정이다.
음바페, 올림픽 불참한다...유로 마치고 거취 결정	첫 번째 이유는  대회로 인한 피로 누적이며, 두 번째 이유는 을 마친 뒤 자신의 거취를 결정하려고 하기 때문"이라고 보도했다. 음바페는 오는 2022년 여름에 파리생제르맹(PSG)과 계약이 만료된다....
탈락 위기 내몰렸던 덴마크, '에릭센 기운받고' 코펜하겐 기적 연출	덴마크는 22일 오전 4시(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서 열린 러시아와의 UEFA  B조 조별리그 3차전에서 4-1로 승리했다. 덴마크는 B조 2위로 16강에 올랐다. 선제골을 덴마크의 몫이었다....
맨시티, 아궤로 대체자 케인 위해 약 1576억 준비 중	현재 케인은 잉글랜드 축구대표팀에 합류해 2020 유럽축구선수권대회() 조별리그를 소화 중이다. 케인은  동안에는 이적에 신경 쓰지 않고 대표팀 경기만 집중하겠다고 밝힌 바 있다.
'녹슨 전차군단은 없다' 독일, 포르투갈에 완승...부활 신호탄	독일은 20일(한국시간) 독일 뮌헨의 알리안츠 아레나에서 열린  조별리그 F조 2차전에서 4-2 완승을 거뒀다. 카이 하베르츠(첼시), 로빈 고젠스(아탈란타)가 골을 터뜨렸고 포르투갈의 자책골도 2골이나 나왔다....
월드컵도 예외없다, 코로나 시대가 만든 뉴노멀	년에 열렸어야 했을  대회, 코파 아메리카 등은 1년 연기돼 2021년 6월 현재 진행되고 있다. 2022년 카타르에서 열리는 월드컵도 영향을 받고 있다. 각 지역 예선들이 연기됐고 최종예선을 소화해야 할 때에 지역 2차...
'무적' 이탈리아, 웨일스 꺾고 3연승-무실점으로 16강 안착	'아주리 군단' 이탈리아가 웨일스를 꺾고 무실점으로 3연승을 달리며 A매치 30경기 연속 무패를 앞세워 2020 유럽축구선수권대회() 16강 진출에 성공했다. 이탈리아는 21일(이하 한국시간) 이탈리아 로마의...
보안요원에 이끌려 나가는 경기장 침입 여성	21일(현지시간) 러시아 상트페테르부르크의 크레스톱스키 스타디움에서 열린 유럽축구연맹(UEFA)  조별리그 B조 최종 3차전 벨기에와 핀란드의 경기 중 한 여성이 운동장에 침범해 보안요원들이 이 여성을...
시즌 날린 반다이크, 유로는 출전 강행?… "클롭과 충돌"(英매체)	그럼에도 반 다이크는 오는 여름 개막하는  출전을 희망하고 있는 것으로 전해졌다. 네덜란드 축구대표팀 주장이기도 한 반 다이크는 지난 2015년 처음 오랜지 유니폼을 입은 이래 현재까지 A매치 38경기에...
“아주리 군단, 몰라봐서 미안”	유럽축구선수권대회() 개막 전 다수의 전문가들은 이탈리아를 그다지 주목하지 않았다. 대부분 프랑스와 잉글랜드, 벨기에 등을 유력한 우승 후보로 꼽았다. 이탈리아는 16강 진출은 무난하겠지만 잘해야 4강에...
16강 진출 기뻐하는 안드레아스 크리스텐센	=AP/뉴시스]덴마크의 안드레아스 크리스텐센(첼시)이 21일(현지시간) 덴마크 코펜하겐의 파켄 경기장에서 열린 유럽축구연맹(UEFA)  B조 조별리그 최종 3차전에서 러시아를 꺾은 후 국기를 들고 기뻐하고 있다....
무사히 퇴원한 에릭센 “많은 응원 메시지 감사”	엿새 전 쓰러진 뒤 심장 제세동기 삽입술 받아 덴마크 대표팀은 러시아전서 16강 진출 노려 덴마크 축구대표팀 선수들이 13일 코펜하겐 파르켄 스타디움에서 열린  핀란드전에서 쓰러진 에릭센의 모습을...
1주일만에 퇴원 에릭센, 곧바로 대표팀 훈련장 깜짝방문	B조 1차전 핀란드와의 경기에서 전반 42분 갑작스럽게 의식을 잃고 그라운드에 쓰러졌다. 심폐소생술을 받은 뒤 병원으로 이송됐다. 단 몇 초만 늦었어도 아찔했던 순간이었다. 그리고 1주일이 지난 19일. 그는...
벨기에, 핀란드에 2-0 승리…3전전승 조 1위 16강행	벨기에가 핀란드를 꺾고  조별리그를 전승으로 통과했다. 벨기에는 22일 오전(한국시간) 러시아 상트페테르부르크에서 열린 핀란드와의  B조 3차전에서 2-0으로 이겼다. 벨기에는 3전전승을 기록하며 조...
쏟아지는 英대표팀 RB 자원, 후보만 9명...'누가 유로갈까'	을 앞두고 각 팀 명단에 대한 관심이 높다. 어떻게 명단을 꾸릴지 감독들의 선택에 이목이 쏠리는 중이다. 잉글랜드 대표팀도 마찬가지다. 가레스 사우스게이트 감독은 23인 명단을 어떤 선수들로 구성할 지...
새 변수 떠오른 '델타 변이'…진단키트주 들썩, 여행·항공주 풀썩	이경민 대신증권 투자전략팀장은 "선진국 중 백신 접종이 가장 빠른 영국의 코로나19 재확산 우려가 달러 강세 압력에 일정 부분 영향을 주고 있다"며 "아직 이전과 같은 폭증세가 재현될 가능성은 낮지만 ...
'슈퍼스타' 호날두, 인스타그램 팔로워 세계 최초로 3억명 돌파	선'은 "물론 3억명의 팔로워가 모두 호날두의 추종자는 아니다. 그 중 18.7%는 가짜가 의심되는 계정이라는 보고도 있다"고 덧붙였다. 호날두는 유럽축구연맹(UEFA) 유럽축구선수권() 에 참가해 2골을 기록 중이다.
에릭센, 심장 수술 마치고 무사히 퇴원	에릭센은 지난 13일 덴마크 코펜하겐에서 열린 핀란드와의 2020 유럽축구선수권대회() 조별리그 경기에 선발로 출전해 뛰던 중 전반 막판에 의식을 잃고 쓰러졌다. 의료진이 심폐소생술을 해 의식을 되찾은...
'레비는 마음이 없는데' 맨시티 토트넘에 케인 이적 제안했다 '1억파운드에다 스털링 제주스 라포르트 중 골라'	그러나 케인은 맨시티로 가고 싶고, 또 현재 진행중인 이 끝나면 결정할 것이라고 한다. 케인은 2021~2022시즌 유럽챔피언스리그 출전을 원한다고 한다. 리그 7위로 시즌을 마친 토트넘은 새 시즌...
손흥민-케인, 결국 토트넘 레전드로..."모두 잔류할 것"	케인은 이 끝난 뒤에 미래를 결정하겠다고 밝혔지만 협상의 키는 토트넘이 쥐고 있다. 아직 계약 기간이 3년 남았기 때문이다. 토트넘이 이적 제안을 수락하지 않으면 케인은 떠날 수 없다. 대신 토트넘도 케인이...
모리뉴의 독설 "잉글랜드, 케인 저렇게 쓰면 안돼"	케인은 2020-21 잉글랜드 프리미어리그(EPL)에서 23골로 득점왕에 오르는 등 이미 증명된 스트라이커지만, 에서는 아직 골맛을 보지 못했다. 영국 매체 '토크스포츠'는 23일 모리뉴 감독과 독점 계약한 칼럼을 통해...
돈나룸마, PSG 메디컬 통과…오피셜 곧 발표	부폰의 후계자로 지목되며 2016년 9월 프랑스와 평가전에서 교체로 출전한 뒤에 A매치 29경기에서 골키퍼 장갑을 꼈다. 에서도 주전 골키퍼로 활약했고, 이탈리아 무실점 3연승 16강 진출에 힘을 보탰다.
클롭, 회복 중인 판 다이크와 갈등... ‘유로 두고 입장차’	리버풀의 수장 위르겐 클롭 감독과 핵심 수비수 버질 판 다이크가 을 두고 상반된 입장을 보이고 있다. ‘미러’는 21일(한국시간) “클롭 감독과 판 다이크가 오는 여름 열리는 유로 대회를 두고 충돌했다”고...
루카쿠, 유명 패션 잡지 커버 모델 선정...동료는 "우웩!"	루카쿠와 벨기에의 목표는  우승이다. 벨기에는 오는 28일 오전 4시(한국시간) 스페인 세비야에 위치한 에스타디오 올림픽코 데 데 카르투하에서 열리는 UEFA 유럽축구선수권대회() 16강에서 포르투갈과...
호날두, 17년 만에 A매치 109골 달성...'역대 최다 골 단독 1위' 노린다	포르투갈은 24일 오전 4시(한국시간) 헝가리 부다페스트에 위치한 푸스카스 아레나에서 열린 UEFA 유럽축구선수권대회() F조 3차전에서 프랑스와 2-2로 비겼다. 이날 무승부로 포르투갈은 승점 3점을 차지해...
'언더독' 헝가리, 세계 최강 프랑스 발목 잡다	공식 트위터 캡쳐 대다수 축구팬들이 헝가리를 바라보는 심정은 같았다. 프랑스, 포르투갈, 독일과 함께 죽음의 조에 속한 헝가리의 3전 전패는 기정사실로 여겨지는 분위기였다. 하지만 헝가리는 용감하게...
토트넘, 케인 이적료로 2360억원 고수…다음 시즌 잔류 가능성↑	케인은 현재 진행 중인 에 집중하겠다는 계획이다. 대회가 끝나기 전에는 자신의 거취 관련해 어떠한 얘기나 논의도 하지 않겠다고 못 박았다. 토트넘과 케인의 계약 종료까지는 아직 3년이나 더 남았다....
'언더독' 헝가리, 세계 최강 프랑스 발목 잡다	공식 트위터 캡쳐 대다수 축구팬들이 헝가리를 바라보는 심정은 같았다. 프랑스, 포르투갈, 독일과 함께 죽음의 조에 속한 헝가리의 3전 전패는 기정사실로 여겨지는 분위기였다. 하지만 헝가리는 용감하게...
“코로나 걸리면 어떡해?” 만치니, 유로 ‘26인 스쿼드’ 주장	유럽 12개국 12개 도시에서 펼쳐지는 유럽축구연맹(UEFA)  개막이 약 2개월 앞으로 다가왔다. 코로나19 팬데믹으로 대회가 1년 연기됐지만, 여전히 유럽 내 코로나19 확산은 줄어들 기미가 보이지 않고 있다. UEFA는...
"콜라대신 물마시라" 콜라모델 출신 호날두의 '배신'	호날두는 15일(한국시간) 2020 유럽축구선수권대회() 조별리그 F조 1차전을 앞두고 헝가리 부다페스트에서 열린 기자회견에 포르투갈 대표팀 주장 자격으로 나왔다. 의자에 앉자마자 책상에 놓인 코카콜라 2병을...
'이를 어쩌나' 프랑스, 뎀벨레 이어 부상자 속출...3명 추가	프랑스는 24일 오전 4시(한국시간) 헝가리 부다페스트에 위치한 푸스카스 아레나에서 열린 UEFA 유럽축구선수권대회() F조 3차전에서 포르투갈과 2-2로 비겼다. 이날 무승부로 프랑스는 승점 5점을 쌓아 1위 자리를...
"네 아들이 죽길 바란다고 했다"...모라타, 가족 향한 비난에 괴로움 호소	모라타는 UEFA 유럽축구선수권대회()에서 스페인 대표로 출전 중이다. 주전 최전방 공격수로 활약하며 스페인 득점을 책임지는 막중한 임무를 맡았다. 그러나 모라타 활약은 아쉽다. 조별리그 E조 첫 경기였던...
'심장 제세동기 삽입'에릭센,가장 먼저 찾은 곳은 덴마크대표팀	에릭센은 지난 12일  핀란드와의 개막전 전반 40분 그라운드에서 쓰러졌다. 10분여의 심폐소생술 끝에 의식을 되찾고 병원으로 후송돼 치료를 받았다. 생사를 오간 아찔한 순간을 극복하고, 19일(한국시각) 심장...
호날두와 재회한 벤제마 "오랫동안 즐기면서 뛰자고 했다"	지난 24일(이하 한국시간) 헝가리 부다페스트에 위치한 푸스카스 아레나에서는 포르투갈과 프랑스의  F조 조별리그 3차전 경기가 열렸다. 두 팀은 2-2로 승부를 가리지 못했는데, 과거 레알마드리드에서 한솥밥을...
호날두에 외면당했던 고젠스, 제대로 갚았네	유럽축구선수권대회()는 골잡이의 독무대가 아니었다. 독일의 신성 로빈 고젠스(27·아탈란타)는 20일 독일 뮌헨에서 열린  F조 2차전에서 포르투갈을 상대로 1골·1도움을 쏟아냈다. 단 62분간 뛰면서...
'스타 탄생' 담스고르, 에릭센 대신 출전해 원더골로 덴마크 기적 연출	덴마크는 22일(한국시간) 덴마크 코펜하겐의 파르켄에서 열린 유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그 B조 최종전에서 러시아를 4-1로 제압했다. 덴마크는 2연패 뒤 3점차 승리를 거두며 승점 3을...
20세 덴마크 미드필더…'손흥민 이상적인 파트너' 후보	에서 놀라운 활약을 이어가고 있고, 덴마크 16강 진출에 크게 공헌했다"고 알렸다. 담스가르드는 중앙 미드필더와 공격형 미드필더를 포함해 공격 전 포지션에서 영향력을 발휘할 수 있다. 지난해에 덴마크...
벨기에, 덴마크전 전반 10분에 '에릭센 위한 1분' 준비	AP통신은 17일(한국시간) 벨기에 선수들이 2020 유럽축구선수권대회() 덴마크전 전반 10분에 공을 그라운드 밖으로 걷어내 경기를 중단시키고 1분 동안 관중과 함께 에릭센의 쾌유를 바라며 박수를 보낼...
사우스게이트 감독, “조던 헨더슨, 유로 본선 어려울 수도”	올 6월 열리는 유럽축구연맹(UEFA)  본선을 준비하는 잉글랜드 대표팀의 가레스 사우스게이트 감독이 조던 헨더슨의 참가 여부에 대해 언급했다. 사우스게이트 감독은 헨더슨의 부상과 출전 시간 부족을 이유로...
스코틀랜드 '신성' 길모어, 코로나19 확진…크로아티아전 결장	스코틀랜드 축구협회는 21일(한국시간) "길모어가 잉글랜드와의  경기 이후 코로나19 검사에서 양성 반응이 나왔다. 방역 지침에 따라 10일 간 격리에 들어가며 크로아티아와의 경기에도 결장한다"고 발표했다....
[GOAL 리뷰] '스털링 결승골' 잉글랜드, 체코 1-0 제압하고 조 1위 16강행!	잉글랜드는 23일 오전 4시(한국시간) 영국 런던에 위치한 웸블리 스타디움에서 열린 체코와의 UEFA  D조 조별리그 3차전에서 1-0으로 승리했다. 잉글랜드는 D조 1위로 16강에 올랐다. 체코는 4-2-3-1 대형으로 나섰다....
베일, 토트넘 재임대 거부 "이미 구단에 통보"…레알에 복귀 전망	디애슬레틱은 20일(한국시간) "베일이 유럽축구선수권대회()를 앞둔 몇 주 전 이미 토트넘 구단에 떠나겠다고 통보했다"며 "그의 미래는 레알 마드리드와 함께 할 것"이라고 전했다. 베일은 레알 마드리드 시절...
에릭센, 수술 받고 퇴원..."엄청난 응원메시지 감사해"	손흥민의 토트넘 시절 전 동료였던 에릭센은 지난 13일 덴마크 코펜하겐에서 열린 핀란드와의 2020 유럽축구선수권대회() 조별리그 경기 도중 갑자기 의식을 잃고 그라운드에 쓰러졌다. 다행히 응급의료진이...
샤넬·루이비통 무제한 렌트 월7.9만원…'MZ세대 몰린다'[이노머니]	26일 시장조사업체 모니터에 따르면 지난해 한국의 명품 매출 규모는 125억420만 달러(약 14조1200억원)다.... 덕분에 리본즈의 매출액은 2018년 165억원, 2019년 184억원, 년 200억원으로 가파르게 성장하고 있다. 매출...
호날두-조타-실바 vs 음바페-벤제마-그리즈만, 포르투갈-프랑스 선발 공개	프랑스와 포르투갈은 24일(한국시간) 새벽 4시 헝가리 부다페스트의 푸스카스 아레나서  F조 조별리그 최종 3차전을 갖는다. 죽음의 F조는 끝까지 안갯속이다. 1위 프랑스(승점 4)는 16강행을 확정했지만...
[스포터 PICK] '강호의 귀환'네덜란드vs'다크호스' 체코, 8강행 티켓은?	네덜란드와 체코가 28일 오전 1시(한국 시각), 헝가리 부다페스트에 위치한 푸스카스 아레나에서 'UEFA(유럽 축구 연맹) ' 16강전을 치른다. 네덜란드가 3전 전승으로 매서운 기세를 보이며 16강에 안착한 가운데...
잉글랜드, 'EPL 올스타' 화력으로 밀집수비에 고전… 독일전은 다를까	잉글랜드의 공격진은 유럽 최강자들이 즐비한 에서도 톱급이다. 하지만 수비 공략에 연달아 실패하며 조별리그 3경기 2골에 머물렀다. 잉글랜드는  D조 1위로 16강에 안착했다. 1차전에서 크로아티아를 1...
英 대표팀 감독, 유로 참가하는 선수들에 백신 우선 접종 요청	영국 언론 데일리메일의 19일(한국시간) 보도에 따르면 사우스게이트 감독은 올해 6~7월 유럽 12개 나라에서 열리는 유럽축구연맹(UEFA) 에 출전하는 잉글랜드 대표팀 선수들을 백신 우선 접종 대상에 포함시켜야...
18세 페드리, 파브레가스 기록 깨고 유로2020 출전? 엔리케 감독 "좋아하는 선수"	올 여름 열릴 에 나설 대표팀을 꾸리기 위해 선수들을 직접 점검하러 나선 것이다. 스페인 스포츠 신문 '스포르트'는 스페인 방송 '모비스타'의 '바모스'와 인터뷰한 엔리케 감독의 발언을 보도했다. 엔리케...
크로스, 경미한 부상으로 독일 대표팀 하차… “유로 위한 판단”	독일 대표팀은 “경미한 부상”이라고 상태를 전했지만, 6월 열리는 유럽축구연맹(UEFA) 까지를 고려해 무리하지 않기로 결정했다. 3월 A매치 기간에 대비해 요아힘 뢰브 독일 대표팀 감독은 26인을 소집했다....
아스널, 주가 치솟고 있는 잉글랜드 국대 골잡이 노린다	그 상승세를 바탕으로 이번  잉글랜드 국가대표팀에도 선발됐다. 칼버트-르윈의 미래는 창창하다. 아직 24세밖에 되지 않았다. 때문에 많은 빅클럽들이 그를 주시하고 있다. 에버튼과의 계약이 2025년까지 맺어져...
항의만 '수천 건'...BBC, 에릭센 부상 그대로 송출해 논란	지난 12일(한국시간)에 개막한 UEFA 유럽축구선수권대회()가 성황리에 조별리그 일정을 모두 마쳤다. 16강부터 벨기에와 포르투갈, 잉글랜드와 독일의 빅매치가 성사되며 팬들의 기대는 더욱 높아지고 있다. 약...
반 다이크, 복귀까지 8주 예상...'유로 갈 수 있을까' 네덜란드의 기대	오는 6월에는  조별리그가 시작된다. 더 부르 감독은 "반 다이크가 리버풀에서 뛸 수 있으면 우리에게도 보너스다. 그에게 기댈 생각은 없다. 그러나 그가 복귀를 해낸다면 대표팀에는 환상적인 일이 될 것이다. 한...
[공식 발표] ‘독일 전성기’ 이끈 뢰브, 유로 끝으로 사임... “마법 같았던 순간”	독일축구협회는 9일(한국시간) “독일 대표팀의 요아힘 뢰브 감독이 오는 6월 열릴 예정인 을 끝으로 지휘봉을 내려놓는다”고 발표했다. 뢰브 감독은 2004년 위르겐 클린스만 감독을 보좌하며 수석 코치로...
날강도 호날두가 콜라 치우고 칭찬받은 이유	사건은 지난 15일 유럽축구연맹(UEFA) 유럽축구선수권대회()  F조 헝가리전을 앞두고 열린 공식 기자회견에서 일어났다. 호날두는 테이블 위에 놓인 코카콜라의 콜라병을 옆으로 치운 뒤 "아구아(물)"라고 말했다....
클롭, “판 다이크-고메스 유로 출전 어렵다... 프리 시즌이라도”	리버풀의 수장 위르겐 클롭 감독이 버질 판 다이크와 조 고메스의  출전이 어렵다고 말했다. ‘골닷컴’은 14일(한국시간) “클롭 감독은 장기 부상 중인 판 다이크와 고메스가 유로에 나서기 쉽지 않을 것이라...
도쿄 올림픽은 '4無'…관람객 환호·포옹·음주·사인 금지(상보)	하시모토 위원장은 1만 명까지 경기장에 입장할 수 있도록 결정했지만 처럼 축구팬들이 즐기는 축제 분위기를 기대하지는 말라고 경고했다. 지침에 따르면 관객들은 경기장에 입장하기 전에 '코코아'(연락처 확인...
독일 무명 수비수 고젠스, 자신을 모욕한 호날두 지워버렸다	‘전차 군단’ 독일이 ‘디펜딩 챔피언’ 포르투갈을 꺾고 2020 유럽축구선수권대회()에서 첫 승을 거뒀다. 독일은 독일 뮌헨 알리안츠 아레나에서 열린  F조 조별리그 2차전에서 포르투갈을 4-2로...
메시, 아~	한편 에서는 로베르트 레반도프스키가 침묵을 지키고 1명이 퇴장당해 수적 열세에 처한 E조 폴란드가 슬로바키아에 1-2로 패했다. 같은 조 스페인과 스웨덴의 경기는 스페인이 압도적인 경기를 하고도...
유니폼 교환 거절당했던 고젠스, 호날두에 복수 날렸다	독일은 20일(한국시각) 독일 뮌헨 알리안츠 아레나에서 열린 2020 유럽축구챔피언십() F조 2차전 포르투갈과 경기에서 카이 하베르츠(22), 로빈 고젠스(27)의 득점과 상대 자책골 두 개로 4-2 역전승을 거뒀다....
"끝까지 싸웠다"...레반도프스키, 멀티골에도 16강 탈락해 슬픔 전해	폴란드는 24일 오전 1시(한국시간) 러시아 상트페테르부르크에 위치한 상트페테르부르크 경기장에서 열린 UEFA 유럽축구선수권대회() E조 조별리그 3차전에서 스웨덴에 2-3으로 패배했다. 16강 진출을 꿈꾸는...
임대로 부활한 맨유 스타, 출전 시간 보장 안되면 복귀 없다	그는 내게 큰 힘이 돼줬다. 이번 임대 이적은 내게 큰 의미였다"고 설명했다. 한편, 린가드는 웨스트햄에서 좋은 활약을 펼쳤지만 이번  잉글랜드 대표팀에는 탈락했다. 김 용 기자
[오피셜] '40세' 즐라탄, 스웨덴 대표팀 전격 복귀...유로 본선 정조준	스웨덴은  본선에서 스페인, 폴란드, 슬로바키아와 E조에서 만난다. 만만치 않은 상대들이기 때문에 즐라탄이 필요하다는 이야기가 나왔고, 결국 즐라탄이 대표팀에 전격 복귀했다. 스웨덴 축구협회는 3월...
獨언론, 16강전에서 잉글랜드 만나자 떠들썩...'끝난 건 아니잖아!'	UEFA 유럽축구선수권대회() 16강 최고의 빅매치가 성사됐다. 잉글랜드(D조 1위)와 독일(F조 2위)이 외나무다리에서 만났다. 양 팀에 포진해 있는 수많은 슈퍼스타들은 물론 '축구 종가' 잉글랜드와 '유로 최다...
'유로 출전하고 싶어' 반 더 비크, 기회 갈망...맨유와 결별 고려	꾸준하지 못한 출전으로  스쿼드에 포함되지 않을까 걱정 중이다"고 전했다. 이어 "반 더 비크는 에드 우드워드 부회장과 회담을 요구했고, 답변을 얻기를 원한다"고 덧붙였다. 반 더 비크는 아약스 소속으로 지난...
쓰러진 에릭센, 건강한 스포츠 선수가 왜?[스한 위클리]	경기 도중 갑자기 쓰러져 전세계에 큰 충격을 준 덴마크 축구대표팀의 크리스티안 에릭센의 사례에서 드러나듯 불현듯 사고는 찾아올 수 있다. 강인한 체력의 운동선수라도 막을 수 없다. ▶전세계가 놀란...
유니폼 교환 거부 당했던 고젠스, 호날두에 통쾌한 복수	유럽축구선수권대회()는 골잡이의 독무대가 아니었다. 독일의 신성 로빈 고젠스(27·아탈란타)는 20일 독일 뮌헨에서 열린  F조 2차전에서 포르투갈을 상대로 1골·1도움을 쏟아냈다. 62분 동안 뛰면서...
에릭센, 무사히 수술 마치고 퇴원 “정상 회복 중”	에릭센은 지난 13일 덴마크 코펜하겐에서 열린 핀란드와의  조별리그 경기에 선발로 출전해 뛰던 중 전반 막판에 의식을 잃고 쓰러졌다. 의료진이 심폐소생술을 해 의식을 되찾은 에릭슨은 병원으로 옮겨져...
[스포터 PICK] '30경기 무패' 이탈리아vs'팔색조' 오스트리아, 8강은 내가 간다!	[편집자주]  16강 토너먼트가 시작된다. A조 1위로 진출한 이탈리아와 C조 2위로 진출한 오스트리아가 8강 티켓을 두고 한판 승부를 펼친다. 이탈리아와 오스트리아는 27일 오전 4시(한국시간)에 영국 런던에...
스포츠중계도 OTT…단독·독점 콘텐츠 확보 사활	티빙은 지난 12일 개막한 유럽축구연맹(UEFA) 축구 선수권 대회인 을 단독으로 전 경기 중계한다고 밝혔다. 총 51경기 중 20경기는 TV에서도 볼 수 없고, 티빙에서만 독점으로 생중계한다. 이 뿐만 아니라 티빙은...
'머리스타일' 바꾼 포그바의 재치..."유벤투스 질문 나올 줄 알았는데"	프랑스는 24일 오전 4시(한국시간) 헝가리 부다페스트에 위치한 푸스카스 아레나에서 열린 UEFA 유럽축구선수권대회() F조 3차전에서 포르투갈과 2-2 무승부를 거뒀다. 이로써 프랑스는 승점 5점으로 조 1위로 16강...
